ABS 		data_type       	#ABS (absolute), REL (tangential), DIF (differential coorinates) or CPV (camera pointing vector)
9		moon_entry         	#Target body
0		time_entry             	#First time entry (python, so starting at 0)
3		amount_time_entries  	#Amount of time entries
DATE		time_type          	#JD, MJD, J2000, DATE, MINsinceJDaddingtheJD 
utc		time_scale		#time scale,lower case, gmt=ut1
0		time_delta         	#hours away from standard time scale (i.e. utc-3 is -3)
3		RA_entry           	#First RA or X entry
6		DEC_entry             	#First DEC or Y entry
1		number_observatories  	#Amount of observatories, needs extra definition which one if 1
286		observatory       	#Ignored if more than 1 observatory
10		observatory_entrace	#Ignored if 1 observatory
0		relative_body_entry  	#Ignored if ABS, can either be a name or entry position
0		process_relative       	#Switch for processing relative observations or not
J2000   	Epoch of equinox        #J2000, B1950
Jupiter       central_body            #name or number
2016 04       27.570402    10 58 12.7967     +7 55 52.225	6     
2016 04       27.574163    10 58 12.7482     +7 55 52.623     	6
2016 04       27.574528    10 58 12.7461     +7 55 52.681     	6
2016 04       27.574878    10 58 12.7404     +7 55 52.689     	6
2016 04       27.575228    10 58 12.7384     +7 55 52.750     	6
2016 04       27.575579    10 58 12.7332     +7 55 52.769     	6
2016 04       27.575930    10 58 12.7284     +7 55 52.772     	6
2016 04       27.576280    10 58 12.7250     +7 55 52.873     	6
2016 04       27.576861    10 58 12.7151     +7 55 52.860     	6
2016 04       27.577907    10 58 12.7053     +7 55 52.993     	6
2016 04       27.578950    10 58 12.6947     +7 55 53.132     	6
2016 04       27.579994    10 58 12.6812     +7 55 53.207     	6
2016 04       27.581038    10 58 12.6689     +7 55 53.331     	6
2016 04       27.582081    10 58 12.6558     +7 55 53.388     	6
2016 04       27.583125    10 58 12.6426     +7 55 53.527     	6
2016 04       27.584168    10 58 12.6320     +7 55 53.629     	6
2016 04       27.585213    10 58 12.6187     +7 55 53.767     	6
2016 04       27.586259    10 58 12.6043     +7 55 53.871     	6
2016 04       27.587302    10 58 12.5940     +7 55 53.973     	6
2016 04       27.588346    10 58 12.5809     +7 55 54.094     	6
2016 04       27.589390    10 58 12.5698     +7 55 54.159     	6
2016 04       27.590433    10 58 12.5561     +7 55 54.308     	6
2016 04       27.591477    10 58 12.5475     +7 55 54.441     	6
2016 04       27.592520    10 58 12.5327     +7 55 54.551     	6
2016 04       27.593564    10 58 12.5204     +7 55 54.612     	6
2016 04       27.594608    10 58 12.5079     +7 55 54.727     	6
2016 04       27.595652    10 58 12.4962     +7 55 54.821     	6
2016 04       27.596696    10 58 12.4818     +7 55 54.934     	6
2016 04       27.597739    10 58 12.4708     +7 55 55.024     	6
2016 04       27.598783    10 58 12.4570     +7 55 55.115     	6
2016 04       27.599827    10 58 12.4461     +7 55 55.284     	6
2016 04       27.600872    10 58 12.4358     +7 55 55.398     	6
2016 04       27.601917    10 58 12.4217     +7 55 55.456     	6
2016 04       27.604004    10 58 12.3964     +7 55 55.712     	6
2016 04       27.605048    10 58 12.3843     +7 55 55.807     	6
2016 04       27.606094    10 58 12.3719     +7 55 55.897     	6
2016 04       27.607138    10 58 12.3610     +7 55 55.996     	6
2016 04       27.608181    10 58 12.3486     +7 55 56.134     	6
2016 04       27.609225    10 58 12.3348     +7 55 56.224     	6
2016 04       27.610269    10 58 12.3237     +7 55 56.349     	6
2016 04       27.611315    10 58 12.3104     +7 55 56.423     	6
2016 04       27.612358    10 58 12.2991     +7 55 56.511     	6
2016 04       27.613402    10 58 12.2866     +7 55 56.664     	6
2016 04       27.614446    10 58 12.2739     +7 55 56.787     	6
2016 04       27.615490    10 58 12.2611     +7 55 56.868     	6
2016 04       27.616534    10 58 12.2491     +7 55 57.003     	6
2016 04       27.617578    10 58 12.2349     +7 55 57.090     	6
2016 04       27.618621    10 58 12.2243     +7 55 57.184     	6
2016 04       28.525410    10 58  2.5596     +7 57 28.410     	6
2016 04       28.526456    10 58  2.5482     +7 57 28.545     	6
2016 04       28.527501    10 58  2.5358     +7 57 28.694     	6
2016 04       28.528545    10 58  2.5240     +7 57 28.752     	6
2016 04       28.529590    10 58  2.5115     +7 57 28.866     	6
2016 04       28.530637    10 58  2.4990     +7 57 28.964     	6
2016 04       28.531682    10 58  2.4889     +7 57 29.046     	6
2016 04       28.532725    10 58  2.4786     +7 57 29.187     	6
2016 04       28.533769    10 58  2.4678     +7 57 29.312     	6
2016 04       28.535856    10 58  2.4429     +7 57 29.454     	6
2016 04       28.536900    10 58  2.4310     +7 57 29.598     	6
2016 04       28.537943    10 58  2.4202     +7 57 29.684     	6
2016 04       28.538987    10 58  2.4078     +7 57 29.793     	6
2016 04       28.540031    10 58  2.3962     +7 57 29.852     	6
2016 04       28.541075    10 58  2.3848     +7 57 29.977     	6
2016 04       28.542119    10 58  2.3746     +7 57 30.046     	6
2016 04       28.545164    10 58  2.3408     +7 57 30.407     	6
2016 04       28.546207    10 58  2.3284     +7 57 30.510     	6
2016 04       28.547251    10 58  2.3180     +7 57 30.573     	6
2016 04       28.548295    10 58  2.3058     +7 57 30.709     	6
2016 04       28.549338    10 58  2.2947     +7 57 30.825     	6
2016 04       28.550382    10 58  2.2841     +7 57 30.901     	6
2016 04       28.551428    10 58  2.2715     +7 57 31.030     	6
2016 04       28.556649    10 58  2.2142     +7 57 31.540     	6
2016 04       28.557693    10 58  2.2029     +7 57 31.637     	6
2016 04       28.558736    10 58  2.1913     +7 57 31.729     	6
2016 04       28.559781    10 58  2.1798     +7 57 31.845     	6
2016 04       28.560827    10 58  2.1686     +7 57 31.927     	6
2016 04       28.561870    10 58  2.1552     +7 57 32.030     	6
2016 04       28.562914    10 58  2.1458     +7 57 32.154     	6
2016 04       28.566046    10 58  2.1116     +7 57 32.486     	6
2016 04       28.567092    10 58  2.0993     +7 57 32.581     	6
2016 04       28.568135    10 58  2.0882     +7 57 32.652     	6
2016 04       28.571266    10 58  2.0515     +7 57 32.980     	6
2016 04       28.572310    10 58  2.0417     +7 57 33.071     	6
2016 04       28.573354    10 58  2.0286     +7 57 33.177     	6
2016 04       28.574397    10 58  2.0186     +7 57 33.290     	6
2016 04       28.575441    10 58  2.0063     +7 57 33.369     	6
2016 04       28.576485    10 58  1.9961     +7 57 33.474     	6
2016 04       28.577528    10 58  1.9818     +7 57 33.564     	6
2016 04       28.578572    10 58  1.9716     +7 57 33.698     	6
2016 04       28.579616    10 58  1.9614     +7 57 33.785     	6
2016 04       28.580659    10 58  1.9489     +7 57 33.908     	6
2016 04       28.581703    10 58  1.9371     +7 57 33.992     	6
2016 04       28.582746    10 58  1.9261     +7 57 34.074     	6
2016 04       29.529583    10 57 52.5656     +7 59  4.792     	6
2016 04       29.530627    10 57 52.5583     +7 59  4.855     	6
2016 04       29.531671    10 57 52.5472     +7 59  4.949     	6
2016 04       29.532714    10 57 52.5339     +7 59  5.047     	6
2016 04       29.533759    10 57 52.5260     +7 59  5.163     	6
2016 04       29.534804    10 57 52.5129     +7 59  5.266     	6
2016 04       29.535848    10 57 52.5061     +7 59  5.379     	6
2016 04       29.536892    10 57 52.4918     +7 59  5.476     	6
2016 04       29.537935    10 57 52.4816     +7 59  5.531     	6
2016 04       29.540023    10 57 52.4618     +7 59  5.764     	6
2016 04       29.541066    10 57 52.4501     +7 59  5.826     	6
2016 04       29.542110    10 57 52.4381     +7 59  5.941     6
2016 04       29.543154    10 57 52.4281     +7 59  6.032     6
2016 04       29.544200    10 57 52.4173     +7 59  6.138     6
2016 04       29.545244    10 57 52.4073     +7 59  6.224     6
2016 04       29.546288    10 57 52.3970     +7 59  6.312  6
2016 04       29.547331    10 57 52.3850     +7 59  6.471  6
2016 04       29.548375    10 57 52.3749     +7 59  6.543  6
2016 04       29.549419    10 57 52.3638     +7 59  6.649  6
2016 04       29.550462    10 57 52.3542     +7 59  6.734  6
2016 04       29.551506    10 57 52.3420     +7 59  6.788  6
2016 04       29.552550    10 57 52.3327     +7 59  6.937  6
2016 04       29.554637    10 57 52.3108     +7 59  7.117  6
2016 04       29.555680    10 57 52.3010     +7 59  7.250  6
2016 04       29.556724    10 57 52.2898     +7 59  7.345  6
2016 04       29.557768    10 57 52.2796     +7 59  7.410  6
2016 04       29.558812    10 57 52.2686     +7 59  7.523  6
2016 04       29.559855    10 57 52.2564     +7 59  7.572  6
2016 04       29.560899    10 57 52.2468     +7 59  7.705  6
2016 04       29.562986    10 57 52.2257     +7 59  7.898  6
2016 04       29.564030    10 57 52.2145     +7 59  7.989  6
2016 04       29.565074    10 57 52.2047     +7 59  8.085  6
2016 04       29.566117    10 57 52.1936     +7 59  8.144  6
2016 04       29.567161    10 57 52.1809     +7 59  8.299  6
