Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
-144058108.845051,-1.9347187879638599,0.018276364301396165,3.409002824472651e-07,-5.049748252432262e-07
-144058024.91523,-1.934720515793906,0.0182762369540622,4.514631577468009e-07,-4.2109541933260664e-07
-144057931.81491,-1.934722728248191,0.018275770513051508,2.7813005343269026e-07,-6.533764890306881e-07
-111148988.815959,-1.3138530591340554,-0.0017226573787160271,-8.394244863652034e-07,2.738340326635322e-07
-111148843.816021,-1.3138573053805942,-0.0017222428590532,-8.473506589723456e-07,3.499891446680486e-07
-111148740.815976,-1.313860313343493,-0.0017220429119070464,-8.442052426005375e-07,3.093427657190062e-07
-111148637.815972,-1.3138633472047854,-0.0017217718280218971,-8.666002559998276e-07,3.396349613918673e-07
-110973104.815507,-1.3189574296317532,-0.0012900172356128984,-7.06220192103757e-07,2.681068472195399e-07
-110972922.815649,-1.3189629883524183,-0.0012895773005647138,-8.125265378300384e-07,2.6544898375051307e-07
-110972819.815604,-1.3189660143954547,-0.0012892989775568232,-7.525339784653085e-07,2.9299927038588247e-07
-110972716.8156,-1.31896924935089,-0.0012890809757557698,-9.012249315709653e-07,2.6001563944609216e-07
-108475038.476434,-1.3941858134081837,0.004268903330647533,-2.1957346962864221e-07,-2.3104257975727072e-07
-108474946.156275,-1.3941884284299013,0.004269082711380679,-2.3888772959779203e-07,-1.9817620503480293e-07
-108474895.076609,-1.394189807160227,0.004269075710899668,-1.8139447521825502e-07,-2.863097765138517e-07
-108474878.166421,-1.3941902413387404,0.004269201102946317,-1.4009615423304922e-07,-1.8778800586934097e-07
-108474861.136982,-1.3941908266145104,0.004269284499696952,-2.465382356042767e-07,-1.3145642578302197e-07
-108474827.086714,-1.3941917397191403,0.004269300441180639,-2.0220627039435612e-07,-1.6964786823774058e-07
-108474810.166146,-1.3941921741970644,0.004269333475158378,-1.609005411129516e-07,-1.6352218542431407e-07
-108474793.136707,-1.3941926354120968,0.004269368541908224,-1.4326689790067348e-07,-1.5554227657081643e-07
-108474776.106423,-1.3941931260054214,0.004269459325652593,-1.549840753511944e-07,-9.185214821898213e-08
-108474759.136569,-1.394193693433794,0.0042695121919480265,-2.4523186259450824e-07,-6.59887336058873e-08
-108474742.166756,-1.3941941768386652,0.004269432254392261,-2.514536501241338e-07,-1.7293450015054557e-07
-108474725.136472,-1.3941946168298798,0.004269392775152241,-2.125577112099819e-07,-2.395236185122329e-07
-108474674.166521,-1.3941960621037157,0.004269483210782645,-2.2454808568106444e-07,-2.302576544302784e-07
-108474657.086952,-1.394196511856389,0.004269580612968111,-1.9401322948198185e-07,-1.6006558801063414e-07
-108474640.166384,-1.394197010168317,0.004269569878021151,-2.165052828129177e-07,-1.9776274010584183e-07
-108379797.336419,-1.3967867943897005,0.004422603868064052,2.325685957149659e-07,-2.663191528244624e-07
-108379700.126888,-1.3967895008113127,0.0044227288459911486,2.164035708407397e-07,-3.0636050752253646e-07
-108379653.166772,-1.3967907546407243,0.004422861675810093,2.621210830611176e-07,-2.533060453431199e-07
-108379606.086561,-1.3967920737035997,0.004422931328011111,2.4588492619770363e-07,-2.6367080249549424e-07
-108379560.116543,-1.396793355193613,0.004422964132523224,2.3645731106469725e-07,-3.090326266752194e-07
-108379465.096419,-1.3967959687537554,0.0044230724225382476,2.521182103087938e-07,-3.624258491166654e-07
-108379418.076678,-1.3967972839977145,0.004423282775671522,2.3784968239404236e-07,-2.321363440135199e-07
-108379371.116562,-1.3967985340403837,0.004423376423830412,2.8708738897265107e-07,-2.1848741303242408e-07
-108379324.106316,-1.3967999138250362,0.004423353386171212,2.079243843766676e-07,-3.216467939345588e-07
-108295678.076975,-1.3990406696466222,0.0045529201925891705,1.3896553330283723e-07,-1.58633387493598e-07
-108295631.176485,-1.3990419419910824,0.004553257358317745,1.4573410833662592e-07,1.0339908968273748e-07
-108295584.096234,-1.3990433110829827,0.004553013451646125,6.063041513293399e-08,-2.159688143113514e-07
-108295537.137003,-1.3990445810335175,0.004553292102356301,7.133983426221846e-08,-1.2625249099645908e-08
-108295490.126757,-1.39904582088563,0.004553432407931639,1.1351080497767896e-07,5.2251515929128967e-08
-108295443.166602,-1.3990471066781096,0.004553405962100506,1.0834688701777395e-07,-4.958251977136424e-08
-108295396.08639,-1.3990484097738907,0.00455332732005459,8.912473559163914e-08,-2.038453562058784e-07
-108295349.07703,-1.3990496476212124,0.004553676514507026,1.331896186673731e-07,6.980234448696748e-08
-102603891.848011,-1.42857022691726,0.002811108385133675,3.615625663311306e-07,-1.787038181664917e-07
-102603810.727912,-1.428569069169102,0.0028110713221325824,1.2350878964006995e-07,-9.386377404540028e-08
-102599130.897854,-1.4284879541860493,0.002804089765321468,3.5775554518835406e-07,-1.685296914942687e-07
-75116748.817398,-0.7745564782996229,-0.021321359931620203,3.1876885286941103e-07,-2.472585076615519e-07
-75116649.816808,-0.7745585672490926,-0.021321597158207247,3.908190183699034e-07,-2.705743571383701e-07
-75108315.817112,-0.7747400760549151,-0.02133908698143876,4.198128783494681e-07,-2.3277169596339076e-07
-75108216.817407,-0.774742251981926,-0.021339276870453148,3.918532801572283e-07,-2.186425097951139e-07
-69077041.817397,-0.8147849795710498,-0.01974774584528763,1.688873105809563e-07,-4.5458584554958215e-07
-69076865.817989,-0.8147834635925946,-0.0197475568580805,-1.1059657567535908e-07,-7.632903364952759e-07
-69076751.817521,-0.8147822010659233,-0.019747200922344724,-1.1549905032381957e-08,-7.298111057742196e-07
-69076639.817204,-0.8147810992847111,-0.019746923394401053,-5.322345442149157e-08,-7.691455137931458e-07
165759686.67566,-2.8870498710687826,0.020063734848485382,-7.441789184881031e-08,3.3947871651632266e-07
165759793.615535,-2.887053073103461,0.020063592641913323,-1.1513145992125828e-10,1.91380322093343e-07
165759900.535534,-2.88705617004107,0.020063631092118745,1.7904650517763798e-07,2.2404385637345148e-07
165760007.455534,-2.887059422926898,0.020063704115840443,2.026278766997791e-07,2.9138353350305346e-07
165760114.515504,-2.887062707111177,0.02006379557118938,1.9956587404834636e-07,3.7724879493536423e-07
165760221.465759,-2.8870661608622044,0.020063747704766027,2.3937289039821508e-08,3.238978849399998e-07
165760328.405634,-2.887069438080247,0.020063747465739593,2.4883091587213357e-08,3.182732698642221e-07
165760435.215877,-2.887072570851017,0.020063702580307062,1.666584075188382e-07,2.681055147543687e-07
165760542.055531,-2.8870759879659733,0.0200637173534133,2.5344260912163463e-08,2.776901135911891e-07
165760649.785987,-2.8870793398066805,0.020063670100923248,-2.302826507261102e-08,2.2530085541649925e-07
165848117.795362,-2.8897287756648913,0.02008974305094101,1.940461658023196e-08,2.571476527130079e-07
165848225.635533,-2.889732115223936,0.02008985253761086,5.758608256911657e-09,3.566526719477048e-07
165848439.455657,-2.8897387464257593,0.02008997593786143,-3.007984794578533e-08,4.604786469838973e-07
165848546.425787,-2.8897418748590766,0.02008990053255916,1.4146816651461336e-07,3.7538579750542866e-07
165848653.295656,-2.889745293038853,0.02008993502286172,2.0469968831093865e-08,4.0026555215080806e-07
165848760.265785,-2.8897485276953754,0.020089925500309025,8.637854254089916e-08,3.8118985984381126e-07
165848973.965813,-2.889755037985843,0.020090041725621205,1.706624117581157e-07,4.785230961201759e-07
165849382.735433,-2.889767698623692,0.020089846742312584,1.2735226917470754e-07,2.480785717580425e-07
165849489.696068,-2.8897709172720596,0.020089949052018115,2.1086772017397948e-07,3.412471933986194e-07
165849703.445341,-2.889777634041265,0.020089957728755166,9.390438560075154e-08,3.318169634128343e-07
165849811.64576,-2.889780921129173,0.02008994199891827,1.480483931004528e-07,3.0699964352967624e-07
165850025.495294,-2.8897876983811774,0.020090019947791957,-2.4763229689028776e-08,3.671345939898485e-07
165850131.455371,-2.8897907337616986,0.020090041337093502,2.1265090932587327e-07,3.797663315277533e-07
202993408.045113,-2.4373893977475465,0.021933102973332595,1.1915243636195783e-07,-7.558252215419947e-08
202993688.604927,-2.4373930667626844,0.021932046051125077,1.6577301797937594e-07,-2.7481613841182084e-07
202993751.804785,-2.437393762683667,0.021931991011176245,3.0699535757960916e-07,-1.3669720413250763e-07
202993814.164858,-2.4373946931005865,0.021931925301046856,2.0264932842906092e-07,-1.183267435769797e-08
202993940.714926,-2.4373965340302366,0.02193132583808646,3.8255938861198047e-08,-2.2460888857503414e-07
202994004.454793,-2.437397208298273,0.021931272805362802,2.0849076642903697e-07,-8.290635853183681e-08
202994130.90464,-2.437398993348861,0.021930707000865336,9.894902586182752e-08,-2.6244479441744906e-07
202994194.954705,-2.437399780693801,0.02193054539083072,1.60365716705968e-07,-2.2843128278174363e-07
202994381.304811,-2.437402237760688,0.021930100792666787,1.7299733334752432e-07,-1.039920375228709e-07
202994444.515049,-2.4374029369804147,0.021929942607643298,3.1159322810836443e-07,-6.919974155500386e-08
202994507.365,-2.4374038215305798,0.02192980520702162,2.6012737341929437e-07,-1.4744083703943645e-08
202994570.564899,-2.437404877753225,0.021929284836058268,4.1671245121222e-08,-3.42212034380035e-07
202994633.074397,-2.4374054396041833,0.02192931975013971,3.08477264621132e-07,-1.165237533892749e-07
202994696.27514,-2.4374063179069174,0.021929118061568983,2.6803702857236544e-07,-1.2535055955720242e-07
202994759.464659,-2.437407132842138,0.02192876878402588,2.9085702779596545e-07,-2.818230665016519e-07
202994822.674897,-2.4374081338834377,0.021928623743905168,1.2788643655170517e-07,-2.3401772028530665e-07
202994885.864416,-2.4374090626709046,0.021928349342098093,3.6935027036832935e-08,-3.1566035162827744e-07
205066507.904233,-2.451646294260976,0.016271411047696093,5.5745641880378116e-08,-3.113280466100765e-07
205066581.584421,-2.451646337738579,0.016271161524189448,1.0330310562522982e-07,-3.619477347283073e-07
205068045.924456,-2.4516481698393773,0.01626725070453319,7.516490052594804e-08,-3.315763261492466e-07
205068193.373828,-2.4516483573177634,0.016266897035884926,6.857754408784444e-08,-2.8970872576958295e-07
205068266.203849,-2.451648359050929,0.016266656299081986,1.5612794790342832e-07,-3.351702696358094e-07
205072305.1438,-2.451653250763573,0.016255947768089883,1.1460739690605237e-07,-3.201435401570252e-07
205072525.364412,-2.4516535382028404,0.016255402418446214,8.39466505198061e-08,-2.872796263479749e-07
205072598.184094,-2.4516536241857825,0.016255235830508214,8.265356798986545e-08,-2.628291630273061e-07
205072963.184327,-2.4516538955588416,0.01625419507002981,2.340953373369814e-07,-3.4722304729020714e-07
205073108.88412,-2.4516540996970937,0.01625377964689221,1.9793150851654673e-07,-3.8144516014554375e-07
205073182.564308,-2.4516542400588217,0.016253686932412886,1.4233534306740125e-07,-2.8150904643475805e-07
