Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
406841135.40689933,1.2540510173262316,-0.01873129890843779,-1.989638882538003e-07,7.174592060871232e-07
406841207.1189003,1.2540515608574658,-0.01873235004312279,2.0368985467200673e-06,-5.58773772026816e-07
406841357.4549004,1.2540463107979303,-0.018730668196691166,3.3470461646700755e-07,6.514370212741538e-07
406841436.94289935,1.2540451593248274,-0.018729046441582898,1.059159004279664e-06,2.0239627610656175e-06
406842917.83889973,1.2540087874641777,-0.01872466114521765,-3.599196083392542e-07,1.784173314863663e-06
406843145.0709008,1.2540034730144953,-0.01872345972259021,-3.1094526953268087e-07,2.27901248700188e-06
406843975.3749,1.2539824366108137,-0.018722107641828557,-1.7502485714082638e-06,1.0563908444879977e-06
406844416.0149001,1.2539722868036214,-0.01872123633758144,-1.5009127136700329e-06,5.659081874741234e-07
406845325.80690134,1.2539513148369938,-0.018719403474398922,-1.00534723479484e-06,-4.02717857051621e-07
406845413.07090133,1.2539494266337903,-0.01871817205989324,-8.347880304793165e-07,5.607140922611609e-07
406845501.19890136,1.253948081918851,-0.01871799180161131,-1.004239866819745e-07,4.7046597979882865e-07
406845589.32690036,1.2539453924892832,-0.018717631282829543,-7.108443746961512e-07,5.606085488121804e-07
