Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
577202116.3856187,-2.241240539064042,0.013773753715871596,2.868877766459832e-07,8.112765120370929e-07
577202868.0656186,-2.241257212552779,0.01377430248132697,6.08176169425434e-07,8.607720337928948e-07
577203622.3376186,-2.2412745564019856,0.01377467141127942,3.232978245115703e-07,7.213045800699008e-07
577204373.1536196,-2.24129122994364,0.013775219985980254,6.348271508471726e-07,7.561033104688808e-07
577208173.0256182,-2.2413775305853116,0.013778178926732495,3.1396038568942686e-07,9.862936632930308e-07
577208925.5696182,-2.2413943298928336,0.013779195188342187,5.370002802429497e-07,1.4349287225552676e-06
577209678.1136181,-2.241411673961884,0.013779563318482596,2.105105805227936e-07,1.2259798399527622e-06
577210439.2976191,-2.2414284733297665,0.013780579387354623,6.180105938113911e-07,1.648585688811613e-06
579613683.809261,-2.306743094639014,0.017532815818894005,-3.2279506223531484e-07,1.6173825227068506e-06
579614443.2652599,-2.306766051871332,0.017534247157023505,-8.915664650999133e-08,1.523727731374963e-06
579615200.1292597,-2.306789680132379,0.017535484133258606,-6.031289383479077e-07,1.2339946914748101e-06
579615956.9932605,-2.3068127723066065,0.017537380826968138,-5.798096189835178e-07,1.5966818640994473e-06
