Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
649510365.3752533,-1.224390400386928,0.0009524849111152226,9.710127175655003e-07,3.1275117063614324e-07
649510683.3272521,-1.2244009770531723,0.0009501208963865906,-4.4350098926670967e-08,-2.340445614963096e-06
649510948.5752522,-1.2244096541693619,0.0009513976173746354,-7.467147833395416e-07,-1.3057552076065765e-06
649511403.903252,-1.224423144728876,0.0009524024436172399,-5.513871264017922e-07,-7.18016658273965e-07
649511933.5352519,-1.2244380407988205,0.00095312394648223,4.656923204837682e-07,-4.841405922234414e-07
649417779.9992801,-1.2216324082797025,0.0008778710146643013,9.728765970606901e-08,6.942308107285794e-07
649417812.8312801,-1.2216330757301204,0.0008779699779826763,4.302720721938158e-07,7.632846713043033e-07
649418010.68728,-1.2216392249953019,0.0008779014976227623,3.0988147314836567e-07,5.142389145335177e-07
649418043.5192801,-1.2216405598961821,0.0008780994203722452,-2.4605987025694276e-08,6.821456041565576e-07
649587407.3912294,-1.2266549999158238,0.0010068237822801042,-6.58323586311127e-07,-5.085142231061289e-08
649589305.5992289,-1.2267113831728023,0.0010082076996496198,-4.582441588407704e-07,-3.214702257886039e-08
649590497.0552285,-1.2267455990140184,0.0010073299666228251,8.414257530731106e-07,-1.7932263754595439e-06
649591873.4072291,-1.226787333784189,0.0010109805149292918,1.257357651329727e-07,8.123311948417256e-07
649593051.0392277,-1.2268234117301704,0.0010113538112946417,-8.676358624892799e-07,2.714062004647959e-07
