Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
714594353.0163686,0.13567985703672458,-0.017306555892707833,2.0778872300564188e-07,5.642069525677029e-07
714594509.9187676,0.13567669796013998,-0.017306360907119425,5.059502877213795e-07,7.628463082644255e-07
714594782.2515675,0.13567064608789486,-0.017307193125032493,4.5564135542353057e-07,-6.307956102943879e-08
714595736.7123682,0.13564931430639413,-0.01730695505425145,1.6598583935101274e-07,1.969215122632484e-07
715971794.5201142,0.09998082798223598,-0.01813272119269712,5.871457262052182e-07,-3.5186826093797086e-07
715971950.2129142,0.09997593182700701,-0.0181317721952798,4.021167663292857e-07,6.993531312220191e-07
715972223.0641131,0.09996707019511172,-0.01813212319055701,-2.0243633663818983e-07,5.273547253360766e-07
715972733.4289141,0.0999519644317377,-0.018132264008878202,1.3924210304216977e-07,7.209229279485363e-07
717005990.16479,0.06760666691146675,-0.019345822230898292,-3.076548769909149e-08,7.046141131880623e-07
717006269.4095911,0.06759731530152693,-0.01934637466222691,-1.6387749547652763e-07,4.73949143459107e-07
717006516.94559,0.06758898791514882,-0.019346207852038597,-3.1898298832877536e-07,9.258425370389789e-07
717007924.1423899,0.06754284330535071,-0.019348284413635928,1.8510470378707566e-09,4.684051222135499e-07
