Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
330649651.7587177,0.06416456561830625,-0.030289049847144096,1.0279095950943562e-05,-5.287933601778871e-06
330661082.65151304,0.06440821991848215,-0.03030997134693505,9.155530495408293e-06,-1.3680330177810729e-06
330672513.8035093,0.06465106153100232,-0.03033698390606069,3.5149309011578422e-06,-1.546890967908665e-06
330683944.7827056,0.06489280875864904,-0.030359929739248642,-3.2583256223545076e-06,2.7544777137789023e-06
330689654.78590477,0.06501294820616793,-0.030372457967295853,-5.8881741504673846e-06,3.391627130110153e-06
330689665.75870377,0.06501375075963493,-0.030372435139015483,-5.320222706814426e-06,3.4392782233966246e-06
330695375.8483029,0.06513433849974942,-0.03038520951698758,-6.035174572094348e-06,3.29366359725497e-06
330701085.8515011,0.06525393368071443,-0.0303977128616735,-6.112132813665405e-06,2.811986913073966e-06
330701096.9107001,0.0652541376511415,-0.030396691795480383,-6.138376068304252e-06,3.8557525813796845e-06
330706806.9138982,0.0653732781257222,-0.03040804737552257,-5.1167135921015294e-06,3.947139265474825e-06
330712516.9170964,0.06549325007423205,-0.03042224448508458,-2.0196394479726765e-06,7.554332295163502e-07
330723947.9826937,0.06573243449163284,-0.030446347532686706,4.90250507159673e-06,-1.767915842935952e-06
330746810.1138852,0.06620776266601326,-0.030495716548677585,8.521911438089114e-06,-3.7097108093499254e-06
