Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
714400243.5796119,0.1461663288328013,-0.04049237605845723,-6.480959310328771e-07,1.069930924309237e-06
714400516.0852118,0.14616309938099695,-0.04049289298135783,-3.1551158280462843e-07,1.0585968176490823e-06
714400983.9412106,0.14615622048256519,-0.04049564573413158,-1.076356685197899e-06,-8.265198218268544e-07
714402533.0932113,0.14613698677663176,-0.04049748996591817,-3.332495465691032e-08,2.0024576941751748e-07
716472537.6432457,0.10754288206103481,-0.0440934000861946,-2.5673643058721218e-08,5.29966526621739e-07
716472810.8400457,0.10753521744829037,-0.04409279505345555,-1.1185131631175071e-06,1.4095625071458562e-06
716473360.7760445,0.10752329421840233,-0.04409526708048666,1.857140698308113e-07,-5.089784736386771e-07
716474233.0704454,0.10750248861346738,-0.044099407806439485,3.5643985177302717e-07,-3.7690939892268127e-06
717511796.9327564,0.08198772901731903,-0.04512175397621162,4.4964882664477734e-08,-9.582117792214517e-07
717512073.7583565,0.08198080813638858,-0.04512198961315632,2.572732181044257e-07,-1.0652043327813443e-06
717514114.0943563,0.08192836947259333,-0.04512260314602276,3.283689065936013e-07,-7.042930334211217e-07
717514441.9823563,0.08191929893346545,-0.04512249228650192,-3.153150274215477e-07,-4.3212749004095663e-07
717846541.5503442,0.07354889093703336,-0.045324217347563756,-1.0198408439826556e-06,-9.488758782039142e-07
717846852.9359432,0.0735417685424309,-0.045324733671431354,-1.1344528588752567e-07,-1.3944465973511622e-06
717847322.0015442,0.07353000399910437,-0.045324249208975265,2.171961029362457e-07,-8.040008058207704e-07
717847789.8575441,0.07351771397212736,-0.045323696306945514,-8.232368189919903e-09,-1.4597267802146652e-07
718188994.0847361,0.06500131175889469,-0.04546016224809842,6.502800216356963e-07,-3.1316495915229003e-07
718189149.9503372,0.06499700285355675,-0.045459673812821816,2.906990594353509e-07,1.8083777927890843e-07
718189462.8047361,0.06498982526424982,-0.0454595833479072,1.0409929778326665e-06,2.819929181552272e-07
718189970.6639361,0.06497556266356067,-0.0454602875681314,-3.50226701334444e-07,-4.061572398753044e-07
