Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
544749019.2656558,-2.8553088861131615,0.015087117277682997,-1.2180676840500837e-06,-9.018830229041291e-07
544750767.1376567,-2.855352640425924,0.0150868009283211,-1.5605832377474371e-06,-2.102276688118951e-06
544752507.2336557,-2.8553932385059073,0.015088319629416404,1.0239358121388875e-06,-1.49350779084928e-06
546394517.6335362,-2.893269739381986,0.016215653535531584,-5.902571400540069e-07,-1.655444928670008e-06
546395649.4735352,-2.893291724889484,0.0162174709213716,1.5081271800276852e-06,-4.103469803951043e-07
546396784.769536,-2.893320018854757,0.016215590127804148,-2.6773224850451527e-06,-2.886972957260453e-06
550871016.544492,-2.9275828248763722,0.018524313892117106,-1.4256658555922286e-06,-7.112285354653192e-07
550871749.2164928,-2.927578727481964,0.018523941223693968,-2.6791663225722573e-06,-1.2864923175370802e-06
550872481.8884926,-2.9275710994272766,0.01852453540590326,-4.175400740713542e-07,-9.012894209882438e-07
550873217.1524924,-2.9275657669522883,0.0185231058809921,-4.870294811887277e-07,-2.5472901773980483e-06
