Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
472863419.7917721,2.4634138285770297,0.021072286914186535,5.877709599033665e-07,-1.3036711495745257e-07
472864540.39977247,2.4633999694627233,0.02107387867538311,-8.844585366318825e-07,-6.10333380675343e-08
472865661.0077738,2.4633889547654024,0.021075156284606506,5.233616962030396e-07,-2.8197985683584004e-07
472866778.1597742,2.4633751152506056,0.02107690838169731,-9.003586396438834e-07,-6.220252993238695e-10
475016814.5124798,2.43007901735646,0.022033677104426632,-2.2518313347319463e-07,6.09061761826929e-07
475017855.6324791,2.4300584117532185,0.022033046922310145,-5.3516273190723496e-08,6.029286498121511e-07
475018897.6164804,2.430037673569165,0.02203237304427674,3.262634029610467e-08,5.754233528519614e-07
475019957.7444798,2.430016410412346,0.02203173006563082,-1.6303019823027398e-08,6.120643723656061e-07
475191426.3205347,2.4266444207352276,0.02192375071655215,7.71161817070265e-07,1.3081781273585613e-06
475192478.67253506,2.4266227135421796,0.021922929206797698,5.810457683885772e-07,1.3261977880041353e-06
475193528.43253636,2.4266013986112456,0.021922032860939453,7.526628960086157e-07,1.2884654975592325e-06
475194581.64853567,2.4265798696169325,0.021921117162717052,7.998958939658962e-07,1.2547771849336087e-06
