Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
543754317.6656415,-2.8122804752810517,0.030792068624361228,-1.8345451424650605e-07,9.6176842866863e-07
543761000.7056409,-2.8124346067273946,0.030778860778143957,1.582493087681769e-07,1.2851727945184521e-06
543773938.2416425,-2.8127342149506283,0.030752305321089645,-2.3745806077002385e-07,4.841438545725996e-07
543857557.0256454,-2.8146319875207153,0.030598406712614195,8.668625550711795e-08,1.0053110970735524e-06
543860714.0816455,-2.8147055490784934,0.03059085479640131,-4.412732361736005e-07,-2.614842171920484e-07
543929591.2976483,-2.8162642511664595,0.030464124596565174,1.959698132658616e-06,6.167749389621169e-07
543935548.5776485,-2.8164044930908627,0.030451279558175778,5.403477225662812e-07,4.573481678336877e-07
543942992.8016499,-2.8165780748240414,0.030435792630017323,3.8835074267495884e-07,6.069447423991126e-07
544010746.8176513,-2.8181176122846403,0.03030761947526047,-2.3498165191426779e-07,4.978385132678453e-07
544021698.0176526,-2.818373051556843,0.030283729360689304,-2.862554744353929e-07,3.8664903063631573e-07
544031585.6336519,-2.818603137918854,0.03026287620079493,3.2901237556615115e-07,6.604915142593981e-07
544441322.0816588,-2.8279843906939264,0.029416126551499423,-2.5991298491234716e-07,6.356608937344022e-07
544451521.6016589,-2.82822254085421,0.02939167526135212,-1.8574644577995514e-07,4.6359767780917993e-07
544463738.5616599,-2.8285082381739057,0.029362882332738007,-5.633393471704551e-07,2.7732200838168075e-07
544525833.3776597,-2.829918370294414,0.02923312087063889,-3.457285027153034e-07,2.375338440600838e-06
544535250.1136587,-2.83013786692593,0.02920894029303588,-5.545435843856694e-07,8.823935065856159e-07
544549520.8016585,-2.830470379310038,0.02917393556675992,-1.7324222856274218e-07,-6.153838686892565e-08
544612108.9616591,-2.8318895487078724,0.029039057729230704,-3.4923526159857943e-07,2.3665481168472224e-07
544622094.2096579,-2.8321216111818623,0.029014895395294282,-3.2588650800136065e-07,4.860134957263007e-07
544636437.4736577,-2.832454498747497,0.028980701132253397,4.850055432825684e-07,9.278693476021116e-07
