Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
165919580.31364825,-2.870057085888205,0.02963093403276217,-1.005307862289584e-06,-9.806358426504846e-07
165920190.29764923,-2.8700710016255266,0.029630393511942896,-2.0837642278337398e-08,-9.284968737893751e-07
165920706.10564825,-2.870084061401107,0.02962968408434152,-4.7427137905842187e-07,-1.1346515524958412e-06
165925030.42564923,-2.8701908110190533,0.029625688382441027,-1.3360410440199644e-06,-8.52378128114728e-07
165925851.2256492,-2.870210828709026,0.029624708401500534,-1.2226469969789378e-06,-1.0123312140994378e-06
165927243.12964818,-2.870245804620874,0.029623804003053176,-2.0441411501259665e-06,-5.236190414835418e-07
165928528.76164818,-2.8702766871607555,0.029622502691782848,-1.3663395610485907e-06,-5.374070835562073e-07
165929216.50564918,-2.8702938403827205,0.029622189724121555,-1.6329007759274816e-06,-1.6208557208213792e-07
166695255.32162374,-2.8886390372484563,0.028919468010519516,9.98195512913469e-08,6.226522274825619e-07
166695783.2256237,-2.8886545909809143,0.02891716428329344,-2.843718481138069e-06,-1.0521338363322918e-06
166696153.01762366,-2.888659463409391,0.02891565101927479,1.120494341311229e-06,-2.1236456301809703e-06
166698751.9296235,-2.88872542416949,0.028915379984227916,-2.667462385641528e-06,7.334240004520931e-07
166699265.1456225,-2.8887364800702473,0.02891548383608045,-1.43353366732768e-06,1.4589796467658067e-06
166700730.4896224,-2.888770826656387,0.028911097350375753,-6.721744281179554e-07,-1.1473106575066172e-06
166701115.83362338,-2.8887805439570493,0.028911761301938486,-1.1533184882672742e-06,-1.4243513282025111e-08
168168644.0254635,-2.920376649895852,0.02714994445750146,-5.07818230133239e-07,-9.282909431730657e-07
168169026.77746344,-2.9203839904074287,0.02715053108167584,-4.793411880754661e-07,2.436340718892094e-07
168169347.32146338,-2.9203899076451454,0.02714961327966787,-2.2552966560951404e-07,-1.841405780529659e-07
168170631.22546318,-2.920414604933234,0.027150244210508687,-2.0942105782850717e-07,2.4075388089551952e-06
168172111.25746197,-2.92044381395346,0.027144761761842367,-9.428352174545296e-07,-8.206649315285752e-07
