Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
367819927.4307002,0.6919582624802485,-0.017318243753126898,9.600738769544037e-07,-7.076758916021997e-07
367820704.16669905,0.6919535696217514,-0.01731668457956269,-9.847780462202138e-07,-2.0040251723363323e-07
367995563.07866645,0.6913027130193033,-0.017126943142797342,6.992520709125927e-07,-2.844835780009547e-06
367996210.2146653,0.6912996671376697,-0.01712490874206209,8.250878757998237e-07,-1.6341483965072456e-06
372129236.2943807,0.6206290183983891,-0.016588702080715906,-9.167695462775072e-07,1.29574046396283e-06
372130087.3343808,0.6206063470672327,-0.016588960830796563,-1.4157322280050622e-06,1.4985286717825175e-06
372133171.81438,0.6205273457029103,-0.016591015613232177,3.560463812668502e-08,1.1517039294438314e-06
372214545.92638624,0.6184496357619852,-0.016657213404013937,-1.275278882384434e-06,1.199330247114716e-06
372215572.3583853,0.6184226451975613,-0.016659025443268766,-1.444425300367591e-06,-2.6081592847254642e-08
372306297.5423918,0.6160961980903349,-0.01673223523419807,2.975785829972821e-07,1.2349198572833564e-06
372306857.4143928,0.6160798462542789,-0.0167316138058666,-1.3464640649107906e-06,2.2138760538449598e-06
372308124.03839296,0.6160475155503504,-0.016733586432109242,-4.005433060783048e-07,1.062165102056617e-06
372998127.39846075,0.5983091613672281,-0.01740096940415838,-2.527605006408251e-07,6.095288849691793e-08
372998508.4224608,0.5982991472491199,-0.01740151508175063,-3.1438282632745285e-07,-1.4543919983969755e-07
373168617.92648256,0.5939780723725868,-0.01758919930070809,-1.9033497644649344e-07,-3.8215085481491107e-07
373169187.3024826,0.5939635442602416,-0.01758966567179406,1.8147042757377108e-08,-3.246314504608272e-07
374814355.62277305,0.5564409560024524,-0.019738024060715422,-3.209226296929657e-07,-4.1286687776573294e-07
374815115.9427722,0.5564270561053778,-0.01973860980860273,8.173582594084294e-07,3.159267494834417e-08
