Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
-145535889.217463,-1.8893508196430053,0.014290943409468085,-2.923000999022207e-07,-8.537996087215616e-07
-145535616.815521,-1.8893654406532143,0.014290565946946143,2.8183120415192775e-07,-5.940836906529606e-07
-145535542.813951,-1.889370027462696,0.014290272548402967,-2.0795564403819355e-07,-7.128281670643749e-07
-145535463.818403,-1.889374757283734,0.014290430946182226,-5.791644455133138e-07,-3.6727701123104306e-07
-145535255.819048,-1.8893858341097485,0.01428951524723654,-2.544004242821529e-07,-7.86759065118936e-07
-145534910.616495,-1.8894040211183025,0.014287913983833962,2.3449495123450959e-07,-1.554004003850168e-06
-145534840.718906,-1.8894088073748607,0.014289097426671617,-8.087104947929191e-07,-2.0016992085918062e-07
-145534746.413282,-1.8894134364912276,0.014288307553597846,-4.0870532247438973e-07,-7.593753405411158e-07
-145534667.815197,-1.8894174956545766,0.014287952730743686,-2.9500323983633336e-07,-9.212832779940255e-07
-145534604.613608,-1.889420773302341,0.014287933841750422,-2.295900964899289e-07,-7.846162465297013e-07
-145534479.41139,-1.8894273301847875,0.014287857188601706,-1.9682064777981623e-07,-5.520057321222599e-07
-145534332.617779,-1.8894351760796504,0.014287306089916353,-3.731486821756391e-07,-7.386904788946741e-07
-145534268.716335,-1.8894385875674813,0.014287266170034448,-4.652475271704759e-07,-6.193823322599157e-07
-145534200.512159,-1.8894419066070733,0.014287806706606407,-2.5443047380058204e-07,9.148981179075977e-08
-145534138.114107,-1.8894451224939435,0.01429061938175187,-2.528286364711363e-07,3.060342428876095e-06
-145534061.010723,-1.889449339284534,0.014288345069693377,-5.096561364048569e-07,9.794562297119058e-07
-145533985.013308,-1.8894531508288896,0.014286510972673697,-4.352481755010018e-07,-6.635221594906981e-07
-145533841.615212,-1.8894603296187018,0.01428582728234026,-3.2871082544794206e-07,-9.853717679898788e-07
-145533755.318879,-1.8894644539480459,0.014285448905079568,-9.867917150074845e-08,-1.1452512692407962e-06
-145533693.612032,-1.8894679746197875,0.014285559555103154,-5.196469343715648e-07,-8.780318795156838e-07
-145533634.514424,-1.8894708980694168,0.014285346758210582,-4.854111825824958e-07,-9.406277318158018e-07
-145533570.414269,-1.8894741688874812,0.014285074817870351,-5.603609407600629e-07,-1.0493802698862548e-06
-145533494.010741,-1.8894778549129558,0.014284234104081812,-4.537656759229236e-07,-1.6952232220687757e-06
-145533410.418718,-1.8894820629947655,0.014285133469369538,-5.332948134206816e-07,-5.822163283812631e-07
-145533359.511852,-1.8894844818751686,0.014284220727878076,-4.4868729442981703e-07,-1.3646349493485338e-06
-145533298.617151,-1.8894873782095245,0.014284515465125313,-3.611217707089054e-07,-9.137960278581686e-07
-145533214.117952,-1.8894917716753534,0.014284409390399117,-6.335859206174632e-07,-8.028920637052905e-07
-145533069.613928,-1.8894986086189018,0.01428417975968328,-4.761795273644509e-07,-6.605153222583732e-07
-145532961.216487,-1.8895040864058892,0.014283905207430572,-7.516394056050757e-07,-6.552688345679014e-07
-145532657.710589,-1.8895183153460389,0.014282698220087393,-6.19776431287633e-07,-1.075762045704004e-06
-145532591.71827,-1.889521404538357,0.014283004050866169,-6.270015970866183e-07,-5.983739405825833e-07
-145532464.615197,-1.8895268301178405,0.01428214063316276,-1.5794174768046787e-07,-1.1308717842543892e-06
-145532388.514102,-1.889530798836137,0.014282684298471302,-6.235309810698197e-07,-3.8877970580906973e-07
-145532317.614265,-1.8895337496390396,0.014281358677361928,-3.2840248431753594e-07,-1.5293511142870642e-06
-145532250.516017,-1.889536778016533,0.014281720157212708,-3.007571625079919e-07,-9.92588655523638e-07
-145532102.314085,-1.8895436677216144,0.01428177974016599,-4.955491406111179e-07,-5.45360746328008e-07
-145531940.815222,-1.8895514620178309,0.014283274295727174,-1.0811960942103127e-06,1.3723067767666686e-06
-145531840.513453,-1.8895551274706128,0.014281219069354588,-3.1562532143425415e-07,-4.198268195882565e-07
-145531762.615223,-1.889557969983842,0.014279749538379325,2.586613718769115e-07,-1.6848866321826639e-06
-145531706.014565,-1.889560231239224,0.014279339400349403,4.6654386864908304e-07,-1.9463860890991252e-06
-145531622.811395,-1.889564479831583,0.014279830041606706,-1.7312159239502023e-07,-1.23714968314724e-06
-145531330.21777,-1.8895774912227954,0.014277451120413504,-6.906859228994477e-07,-2.8466661466438475e-06
-145531238.815208,-1.8895814309371313,0.01427843745208572,-7.910180368497777e-07,-1.6198369580822797e-06
-145531172.010742,-1.8895840002923208,0.014279498334121293,-5.735177051047202e-07,-3.831577181593465e-07
-145530877.913766,-1.8895959251997152,0.014278637364182932,-4.247299285609074e-07,-4.7020457334505383e-07
-145530796.213947,-1.8895989553288561,0.014277848379500165,-1.5760351979032805e-07,-1.0442558421568798e-06
-145530716.311222,-1.8896015300905964,0.014277330783731822,4.6831111655265545e-07,-1.3516986421390625e-06
-145530485.813297,-1.8896110546071068,0.014276001974261706,4.288523158813007e-08,-2.0746928238758733e-06
-138887751.812732,-1.9963960781795644,0.01032543186484761,1.3380417718256155e-06,-4.834655346862282e-07
-138887629.815929,-1.996397784998366,0.010325157624666154,1.0221428301537827e-06,-5.55222289672086e-07
-138887171.818171,-1.9964022469588094,0.01032513877783877,1.3419729247843293e-06,1.8921852270453732e-07
-138886550.8182,-1.9964078119168178,0.010323630087603492,1.1280996083939954e-06,-2.7816190929959295e-07
-138885954.813708,-1.9964115105156093,0.010323361719576405,1.3086137806705977e-06,4.574180037276998e-07
-138885851.816279,-1.9964126852332011,0.010322390457922517,6.774338554560444e-07,-3.4008198510418475e-07
-138885653.81337,-1.9964137219197529,0.010322467133222735,5.796233688570851e-07,7.074900179072918e-08
-138885379.813085,-1.996414220894592,0.010321543950621013,1.1485241737663188e-06,-3.8991953510598976e-07
