Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
26721215.425794225,1.2044958619537678,-0.016493936607381944,-3.925567927831608e-06,7.34303029513439e-07
26721528.60779528,1.2044864709798728,-0.01649451513241492,-6.238853673679046e-06,9.401109773224392e-07
26721843.791394334,1.2044761502211383,-0.016493425447960754,-8.19811491803435e-06,2.8162756364503994e-06
26722202.999394394,1.2044655111511222,-0.016494920266173486,-7.801856096723014e-06,2.207670385622612e-06
26722514.183395445,1.204457735967836,-0.016494272977625225,-4.736259122228859e-06,3.608344260008084e-06
26723158.558194555,1.204435051302959,-0.01649499078340717,-1.2955336823328167e-06,4.386570861148603e-06
26723492.75339561,1.204423988945341,-0.016495522514000795,3.070328105536646e-06,4.5858108484765625e-06
27675657.18197943,1.180985698781095,-0.01632329424588398,-3.330252362543362e-06,1.6067862735787142e-06
27675935.181179486,1.1809776025378924,-0.016321689260189547,-3.7209788095182716e-07,3.858019299435994e-06
27676655.181179646,1.1809452746709475,-0.016321383501728372,2.3474385013599885e-07,5.7619382763142435e-06
27688028.182381146,1.1802403394565164,-0.01631600329902705,1.4184516401449798e-06,6.893057564738569e-07
27688436.181181237,1.180234757766045,-0.016316656199218942,3.695185881724683e-06,-1.2299327849345232e-06
27688742.181182303,1.180229330991061,-0.01631721962280988,2.8091605994706725e-06,-2.7273489094092884e-06
27689050.18278237,1.1802284983412243,-0.01631795797062296,5.398303975168162e-06,-4.386837630928481e-06
27764133.114798076,1.1782367365638224,-0.0162997440445698,3.7508493511140273e-07,7.542736375452941e-07
27764660.435599193,1.1782222714448034,-0.01629851097226295,3.6786269272948147e-06,2.683105465896285e-07
27764952.615198262,1.1782122878042727,-0.016298367962999438,2.037271091825943e-06,-5.471521297151227e-07
27765225.78319932,1.1782072124693905,-0.016298474809305984,3.7882527879062877e-06,-1.5491747080362273e-06
27765498.951198384,1.1782027916939528,-0.016298539043099556,5.255947673532546e-06,-2.504133961443028e-06
27765769.113198444,1.1781951963399602,-0.01629831504452261,2.568452609486016e-06,-3.153296616702217e-06
27766063.29439851,1.1781898171099914,-0.016298119875451326,1.5100580763593996e-06,-3.896250455884959e-06
27766350.469999574,1.1781811155484305,-0.0162975476464997,-3.9850825250820066e-06,-4.223146919713622e-06
27777283.151602037,1.1782959390284704,-0.016291841145593924,-3.4224990750342243e-06,1.988923090424921e-07
27777805.472001154,1.178281526724981,-0.016291804382029696,-5.525225973412873e-06,1.5927566572419838e-06
27778117.660401225,1.17827130786203,-0.016292797071574435,-6.746415458724897e-06,1.4155031718456057e-06
27778385.824401285,1.1782620467865619,-0.016292825164238644,-7.3003121250359015e-06,2.0855703748885734e-06
27778658.992402345,1.1782551182030292,-0.01629334664055354,-4.436178954181358e-06,2.2695531666783175e-06
27778933.16120141,1.1782463942276657,-0.016293651334921347,-2.405454757825609e-06,2.663668730348845e-06
27779485.49840153,1.1782223128272606,-0.01629763528806625,-2.0677625702791858e-06,4.5650288126031224e-08
27779762.666001596,1.1782102022348078,-0.01629319112856962,-5.813356482864407e-07,5.14735614056544e-06
28034082.27926087,1.1713978597135966,-0.01621456251723567,-1.16651014714364e-06,-2.134185670448624e-06
28034374.458860938,1.1713906974422361,-0.0162160592351077,-4.824964684013722e-06,-2.9310995515001437e-06
28034656.634061005,1.1713877456303976,-0.016216086516613396,-3.408461501042126e-06,-2.2657567539524637e-06
28035008.847262092,1.1713780634898185,-0.016214855261283603,-6.2562186682324494e-06,-1.524982831922761e-07
28035294.02486116,1.1713687652374976,-0.016216147145826514,-8.883098993939242e-06,-7.206935102969936e-07
28035572.196861226,1.1713615963228365,-0.016216312406367537,-8.557251711227565e-06,-1.7583897835363183e-07
28035877.3832613,1.1713546235497612,-0.016216583757289346,-6.184782947782352e-06,3.322947571028634e-07
28036379.69126242,1.1713408576704691,-0.016215205691597637,-2.027556025296917e-06,2.9818266475828414e-06
28036670.87006149,1.1713278827409999,-0.016217319248134902,-3.185005263084406e-06,1.5916702301235763e-06
28036948.041262556,1.1713191566828285,-0.01621805118351665,2.9095943432366767e-07,1.5343855334706835e-06
